CDL Code,CDL Category,HSPF Category,Red,Green,Blue
208,Garlic,Other,0,0,0
209,Cantaloupes,Other,0,0,0
210,Prunes,Other,0,0,0
211,Olives,Other,0,0,0
212,Oranges,Other,0,0,0
213,Honeydew Melons,Other,0,0,0
214,Broccoli,Other,0,0,0
215,,Other,0,0,0
216,Peppers,Other,0,0,0
217,Pomegranates,Other,0,0,0
218,Nectarines,Other,0,0,0
219,Greens,Other,0,0,0
220,Plums,Other,0,0,0
221,Strawberries,Other,0,0,0
222,Squash,Other,0,0,0
223,Apricots,Other,0,0,0
224,Vetch,Other,0,0,0
225,Dbl Crop WinWht/Corn,Other grain,255,221,165
226,Dbl Crop Oats/Corn,Other grain,255,221,165
227,Lettuce,Other,0,0,0
228,,Other,0,0,0
229,Pumpkins,Other,0,0,0
230,Dbl Crop Lettuce/Durum Wht,Other,0,0,0
231,Dbl Crop Lettuce/Cantaloupe,Other,0,0,0
232,Dbl Crop Lettuce/Cotton,Other,0,0,0
233,Dbl Crop Lettuce/Barley,Other,0,0,0
234,Dbl Crop Durum Wht/Sorghum,Other grain,255,221,165
235,Dbl Crop Barley/Sorghum,Other grain,255,221,165
236,Dbl Crop WinWht/Sorghum,Other grain,255,221,165
237,Dbl Crop Barley/Corn,Other grain,255,221,165
238,Dbl Crop WinWht/Cotton,Other grain,255,221,165
239,Dbl Crop Soybeans/Cotton,Other grain,255,221,165
240,Dbl Crop Soybeans/Oats,Other grain,255,221,165
241,Dbl Crop Corn/Soybeans,Other grain,255,221,165
242,Blueberries,Other,0,0,0
243,Cabbage,Other,0,0,0
244,Cauliflower,Other,0,0,0
245,Celery,Other,0,0,0
246,Radishes,Other,0,0,0
247,Turnips,Other,0,0,0
248,Eggplants,Other,0,0,0
249,Gourds,Other,0,0,0
250,Cranberries,Other,0,0,0
251,,Other,0,0,0
252,,Other,0,0,0
253,,Other,0,0,0
254,Dbl Crop Barley/Soybeans,Other grain,255,221,165
255,,Other,0,0,0
